Hostname,Latitude,Longitude,Rede,Detalhes
daniel,-22.876198,-47.220440,Teste,Estação para testes da equipe devops
arthur,-23.431319,-47.147152,Teste,Estação para testes da equipe devops
ratitu,-22.80912,-47.07355,Teste,Estação para testes da equipe devops
Nilson,-19.93181,-43.96871,Teste,Estação para testes da equipe devops
Sede ISA Altamira,-3.221700,-52.217600,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Rio Novo,-4.471045,-53.667813,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
São Francisco,-4.470236,-53.842694,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Manelito,-4.780830,-54.644037,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Morro Verde,-4.818244,-54.723248,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Cachoerinha,-5.431136,-54.367649,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Morro do Anfrisio,-4.960709,-55.120062,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Paulo Afonso,-5.055512,-55.245474,Terra do Meio,Estação instalada em comunidade ribeirinha na Estação Ecologica Terra do Meio em Altamira- PA
Sede Kaninde,-8.8981168,-63.8969511,Rondonia - ONG Kaninde,Estação instalada em parceria com a ONG Kaninde
Base Funai,-10.50122,-63.35180,Rondonia - ONG Kaninde,Estação instalada em parceria com a ONG Kaninde
Uru-Ewu-Wau-Wau,-10.70793,-63.45557,Rondonia - ONG Kaninde,Estação instalada na Terra Indigena Uru-Ewu-Wau-Wau em parceria com a ONG Kaninde
Pacaas-novos,-11.15784,-65.01407,Rondonia - ONG Kaninde,Estação instalada na Terra Indigena Pacaas-novos em parceria com a ONG Kaninde
Tefe,-2.451461,-54.761206,Tefé,N/A
Bria,6.533311,21.997442,Central Africa,N/A
bangui,4.370000,18.572000,Central Africa,N/A
Kuakata,21.85544853655107, 90.12437012697681,Bangladesh,N/A
